P01,157.25,429.25,74.375,388.875
P02,454.75,282.625,325.125,482.375
S01,418.625,274.125,405.875,127.5
S02,233.75,452.625,282.625,522.75
S03,677.875,478.125,1226.125,429.25
S04,486.625,431.375,484.5,482.375
S05,646.0,278.375,796.875,486.625
S06,714.0,711.875,822.375,588.625
S07,516.375,467.5,488.75,503.625
S08,686.375,469.625,537.625,418.625
S09,182.75,629.0,221.0,1077.375
S10,784.125,760.75,745.875,803.25
S11,435.625,167.875,312.375,280.5
S12,901.0,622.625,841.5,578.0
S13,48.875,229.5,51.0,293.25
S14,295.375,312.375,346.375,369.75
S15,155.125,193.375,197.625,456.875
S16,0.0,0.0,0.0,0.0
S17,1442.875,225.25,856.375,201.875
S18,459.0,837.25,618.375,614.125
S19,133.875,359.125,127.5,361.25
S20,374.0,357.0,518.5,620.5
S21,531.25,87.125,471.75,180.625
S22,641.75,796.875,454.75,631.125
S23,546.125,167.875,507.875,119.0
S24,835.125,803.25,703.375,688.5
S25,533.375,465.375,590.75,403.75
S26,227.375,348.5,129.625,361.25
S27,278.375,374.0,250.75,461.125
S28,250.75,909.5,170.0,820.25
